term,definition
CPNFP,Comité paritaire national pour la formation professionnelle
CPOM,Contrat pluriannuel d’objectifs et de moyens
CPP,Code de procédure pénale
CPP,Comité de prévention et de la précaution.
CPP,Contrat de Pratiques Professionnelles
CPPV,Convocation par procès-verbal.
CPR,Centre Pédagogique Régional
CPR,Comité de Pilotage des Réserves
CPRC,Contrat de Programme de Recherche Clinique
CPRDF,Contrat De Plan Régional De Développement Des Formations Professionnelles
CPS,Cadre de Proximité de Soins
CPS,Carte de Professionnel de Santé
CPS,Contrôles Personnels de Sécurité
CPSAGN,Conseil Permanent de la Sécurité Aérienne de la Gendarmerie
CPSAGN,Convocation Par Procès-Verbal
CPU,Clinique Psychiatrique Universitaire
CPU,Code pratique de l'urbanisme.
CPV,Vocabulaire commun pour les marchés publics de l'Union Européenne (Common Procurement Vocabulary)
CQ,Contrat de qualification
CQA,Contrat de qualification adulte
CQEPP,Conseil de la Qualité et de l’Évaluation des Pratiques Professionnelles
CQFD,Ce qu'il fallait démontrer.
CQHM,Certificat de Qualification Haute Montagne
CQL,Commandement De Quitter Les Lieux
CQP,Certificat de qualification professionnelle
CQPM,Certificats De Qualification Paritaires De La Métallurgie
CR,Conseil Régional
CR,Croix rouge.
CR,Commission Rogatoire
CRA,Centre de rétention administrative
CRA,Chambre régionale d'agriculture.
CRA,Commission de Recours Amiable
CRAC,Cellule Rectorale d’Action Culturelle
CRADT,Conseil régional d'aménagement et de développement du territoire.
CRAH,Compte-Rendu d'Activité Hebdomadaire
CRAHM,Centre de recherche archéologique et historique médiéval.
CRAM,Caisse régionale d'assurance-maladie.
CRAM,Caisse régionale d’assurance maladie
CRAMIF,Caisse régionale d'assurance maladie d’Île de France
CRATMP,Comité Régional Des Accidents Du Travail Et Maladies Professionnelles (émanation Du La Carsat Volet Prévention)
CRC,Chambre régionale des comptes.
CRCCA,Caisse de RetraiteComplémentaire desCadres de l’Agriculture
CRCI,Chambre régionale de commerce et d'industrie.
CRCOS,Comité Régional de l’ Observation Sociale
CRCSM,Conférence Régionale Consultatives de Santé Mentale
CRDM,Centre de ressources documentaires multimédia (ministère santé et affaires sociales)
CRDP,Centre Régional de Documentation Pédagogique
CRDS,Contribution au remboursement de la dette sociale
CRDV,Centre de Rééducation de Déficients Visuels
CRE,Commission de régulation de l'électricité
CRE,Contrat de retour à l’emploi
CRE,Commission de régulation de l'énergie
CREAHl,Centre régional d’études et d’action en faveur des personnes handicapées et inadaptées
CREAI,Centre Régional d’Etude et d’Action pour l’Insertion
CREAI,Centre régional pour l’enfance et l’adolescence inadaptées
CREDES,Centre de Recherche En Economie de la Santé
CREDOC,Centre de recherches pour l'étude et l'observation des conditions de vie
CREDOC,Centre de recherche pour l'étude et l'observation des conditions de vie
CREFO,"Centre régional de formation, formation permanente en milieu ouvrier"
CREL,Caisse de Retraite de la Fonction publique
CREL,Centre de recherche et d'expertise de la logistique
CREN,Conservatoire régional des espaces naturels
CRENAM,Centre de recherche sur l'environnement et l'aménagement.
CREOGN,Centre de recherche de l'école des officiers de la gendarmerie nationale
CREPAC,Caisse de Retraite d’Entreprises Professionnelles Agricoles et Connexes
CREPS,Centre régional d'éducation physique et sportive
CREPS,"Centre de ressources, d’expertise et de performance sportive"
CRES,Commission régionale de l’économie solidaire
CRESAS,Centre de recherches de l’éducation spécialisée et de l’adaptation scolaire
CRESDA,Centre régional d’éducation spécialisée pour déficients auditifs
CRESS,Chambre Régionale De L’économie Sociale Et Solidaire
CRESS,Commission régionale de l’équipement sanitaire et social
CREST,Centre de recherche en économie et en statistique
CRF,Centre de rééducation fonctionnelle
CRF,Croix rouge française.
CRG,Commission Rogatoire Générale
CRGN,Centre de Recherche de la Gendarmerie Nationale
CRH,Caisse de Refinancement Hypothécaire
CRI,Commission régionale d’invalidité
CRI,Commission rogatoire internationale.
CRIA,Caisse de Retraite Interentreprises Agricole
CRIAS,Centre régional d’information et d’activité sociale
CRICR,Centre Régional d'Information et de Coordination Routière
CRIDEL,Centre de rencontres et d'initiatives pour le développement local
CRIGE,Centre Régional de l’Information Géographique
CRII-RAD,Commission de recherche et d'information indépendante sur la radioactivité
CRIJ,Centre régional information jeunesse
CRIPI,Commission régionale pour l’insertion des populations immigrées
CRIPS,Centres Régionaux d’Information et de Prévention du SIDA
CRIS,Cellule régionale inter services
CRISMS,Commission régionale des institutions sociales et médico-sociales
CRITT,Centre régional d'innovation et de transfert technologique
CRLCC,Centre Régional de Lutte Contre le Cancer
CRNK,Centre de Référence National du Kératocône
CRO,Compte-Rendu Opérationnel
CROAT,Centre régional d'observation de l'activité touristique
CROGEND,Centre de Renseignement Opérationnel de la GENDarmerie
CROP,Centre de rééducation de l’ouie et de la parole
CROSMS,Comité Régional de l’Organisation Sanitaire et Médico-Sociale
CROSS,Centre régional opérationnel de surveillance et de sauvetage
CROUS,Centre régional des oeuvres universitaires et scolaires
CRP,Commissaires aux restructurations et à la préventions des difficultés des entreprise
CRP,Centre de Rééducation Professionnel
CRP,Crédit de réduction de peine.
CRPA,Code des Relations entre le Public et l’Administration
CRPC,Comparution sur reconnaissance préalable de culpabilité
CRPF,Centre régional de la propriété forestière
CRPJ,Compte-Rendu de Police Judiciaire
CRPS,"Centre régional de prévention, d’information, de formation et de lutte contre le SIDA"
CRPS,Commission régionale du patrimoine et des sites.
CRPV,Centre Régional de Pharmacovigilance
CRQCS,Conseil Régional de la Qualité et de la Coordination des Soins
CRR,Commission de recours des réfugiés
CRRA,Centre de Réception et de Régulation des Appels
CRRFP,"Centre de Réducation, Réadaptation et de Formation Professionnelle"
CRS,Compagnies républicaines de sécurité
CRS,Conférence Régionale de Santé
CRSA,Conférence Régionale De Santé Et Autonomie
CRT,Commission Rogatoire Technique
CRTL,Comité régional du tourisme et des loisirs
CRUQ,Commission des Relations avec les Usagers et de la Qualité de la prise en charge
CS,Cadre de Santé
CS,Certificat de spécialisation
CS,Chef de Service
CS,Conseil scientifique.
CSA,Conseil supérieur de l'audiovisuel
CSA,Changement de Subdivision d'Arme
CSAC,Conseil supérieur de l'aviation civile
CSAG,Centre de Soutien Automobile de la Gendarmerie
CSAIA,Chef du service Académique d’Inspection de l’Apprentissage
CSAIO,Chef du Service Académique d’Information et d’Orientation
CSAPA,"Centres de soin, d'accompagnement et de prévention en addictologie"
CSATE,Conseil supérieur de l'appui territorial et de l'évaluation
CSAU,Certificat de sociabilité et d'aptitude à l'utilisation
CSC,Centre Social et Culturel
CSC,Commission de la sécurité des consommateurs
CSCA,Commission de sécurité de la circulation aérienne
CSCE,Conférence pour la sécurité et la coopération en Europe
CSCE,Centre de surveillance du commerce électronique
CSCV,confédération syndicale du cadre de vie
CSDU,Centre de stockage de déchets ultimes
CSE,Cadre socio-éducatif
CSE,Certificat de Signature Electronique
CSE,Chef de Service Educatif
CSE,Comité social et économique
CSERC,"Conseil supérieur de l'emploi, des revenus et des coûts"
CSERV,Comité supérieur d'évaluation des risques volcanique.
CSF,Confédération Syndicale des familles
CSF,Crédit Social Des Fonctionnaires
CSFE,Conseil supérieur des Français de l'étranger
CSFM,Conseil Supérieur de la Fonction Militaire
CSFP,Conseil Supérieur de la fonction publique.
CSFPE,Conseil supérieur de la fonction publique de l’État
CSFPE,Conseil supérieur de la fonction publique de l'État (secrétariat)
CSFPH,Conseil supérieur de la fonction publique hospitalière
CSFPT,Conseil supérieur de la fonction publique territoriale
CSG,Contribution sociale généralisée
CSH,Compagnie de Sécurité et d'Honneur
CSHLM,Conseil Supérieur des HLM
CSHPF,Conseil supérieur d'hygiène publique de France
CSI,Centre de Soins Infirmiers
CSIC,Conseil supérieur des installations classées.
CSIC,Certificat des Systèmes de l'Information et de la Communication
CSLG,Club Sportif et des Loisirs de la Gendarmerie
CSM,Commission Spécialisée des Marchés
CSM,Conseil Supérieur de la Magistrature
CSMA,Conseil supérieur des musiques actuelles
CSMF,Confédération des syndicats médicaux français
CSMI,Centre de santé maternelle et infantile
CSMI,Centre de Santé Mentale Infanto-juvénile
CSMI,Commission Spécialisée des Marchés Informatiques
CSN,Coopérant du service national
CSNE,Coopérant du service national en entreprise
CSNPSN,Conseil supérieur de la navigation de plaisance et des sports nautiques
CSP,Catégories socioprofessionnelles
CSP,Code de la santé publique
CSP,Comité des Spécialités Pharmaceutiques
CSP,Conseil supérieur de la pêche.
CSP,Contrat de Santé Publique
CSPE,Contribution au service public de l'électricité
CSPF,Centre de Services Partagés Financiers de la DSAF
CSPN,Compagnie de Sécurité des Palais Nationaux
CSPR,Commission Socio Professionnelle Régionale
CSPRT,Conseil supérieur de la prévention des risques technologiques
CSPS,coordinateur de la sécurité et de la protection de la santé
CSRIMT,"Commission des Soins Infirmiers, de Rééducation et Médico-Techniques"
CSRM,Conseil Supérieur de la Réserve Militaire
CSRPN,Conseil scientifique régional du patrimoine naturel
CSS,Code de la Sécurité Sociale
CSS,Conférence Sanitaire de Secteur
CSSI,commission des services en soins infirmiers
CSSI,Coordonnateur des services de sécurité incendie
CSSIN,Conseil supérieur de la sûreté et de l'information nucléaires
CSSM,Conseil supérieur des sports de montagne
CSSPF,Conseil supérieur du service public français
CSSPP,"Commission supérieure des sites, perspectives et paysages."
CSSS,Contribution sociale de solidarité des sociétés
CSST,Centre spécialisé de soins aux toxicomanes
CSTAGN,Corps de Soutien Technique et Administratif de la Gendarmerie Nationale
CSTB,Centre scientifique et technique du bâtiment
CSTS,Conseil supérieur du travail social
CSU,Culture et sociétés urbaines.
CSUE,Centre satellitaire de l'union européenne.
CT,Centre Thérapeutique
CT,Commission de la Transparence
CT,Congé Trimestriel
CTA,Centrale De Traitement D’air
CTA,Corps Technique et Administratif
CTBA,Centre technique du bois et de l'ameublement
CTE,Comité technique d’établissement
CTE,Comité technique de l'eau.
CTE,Contrats territoriaux d'exploitation
CTENRHI,Centre Technique National d’Etudes et de Recherche sur les Handicaps et les Inadaptations
CTGN,Centre Technique de la Gendarmerie Nationale
CTH,Centre Thérapeutique
CTI,Commission des titres d’ingénieurs
CTIA,Centre Thérapeutique Intersectoriel pour Adolescents
CTIFL,Centre technique interprofessionnel des fruits et légumes
